"","EphysProp","GeneSymbol","GeneName","GeneEntrezID","DiscProbeID","DiscCorr","DiscUncorrPval","DiscFDR","AIBSCorr","AIBSUncorrPval","AIBSFDR","AIBSMeanExpr (log2 TPM+1)","AIBSConsistent"
"24","AHPamp","Synpo","synaptopodin","104027","1427045_at",-0.67,8.46021430894253e-05,0.00530042263913748,-0.62,0.04,0.216573574883662,3.61,1
"25","AHPamp","Mmp17","matrix metallopeptidase 17","23948","1448598_at",-0.67,8.95880778269242e-05,0.00532209681520415,-0.44,0.15,0.393197089887581,4.05,1
"26","AHPamp","Icam5","intercellular adhesion molecule 5, telencephalin","15898","1418619_at",-0.66,9.7557624940136e-05,0.00559192003380269,-0.56,0.06,0.255427677818357,1.55,1
"27","AHPamp","Pde1a","phosphodiesterase 1A, calmodulin-dependent","18573","1449298_a_at",-0.66,0.000101773831280164,0.00559548370344411,-0.59,0.05,0.234980923183681,7.36,1
"28","AHPamp","Ppp3ca","protein phosphatase 3, catalytic subunit, alpha isoform","19055","1438478_a_at",-0.66,0.000100350787521132,0.00559548370344411,-0.52,0.09,0.293953616555447,8.65,1
"29","AHPamp","Rock2","Rho-associated coiled-coil containing protein kinase 2","19878","1423592_at",-0.66,0.000109161391619808,0.00581526795603559,0.43,0.17,0.410840965643237,5.95,-1
"30","AHPamp","Ywhaz","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide","22631","1448218_s_at",-0.66,0.000112247191430531,0.00581526795603559,-0.43,0.17,0.410840965643237,11,1
"31","AHPamp","Cyfip2","cytoplasmic FMR1 interacting protein 2","76884","1449273_at",-0.66,0.000118651895070458,0.00589265224559027,-0.54,0.07,0.273166848581922,7.12,1
"32","AHPamp","Nrgn","neurogranin","64011","1423231_at",-0.65,0.00012537857833062,0.00603160517897663,-0.48,0.12,0.336896123886241,6.68,1
"33","AHPamp","Sec14l1","SEC14-like 1 (S. cerevisiae)","74136","1453412_a_at",-0.65,0.000134260831560082,0.00634559088110282,-0.27,0.4,0.648212547958015,4.95,1
"34","AHPamp","Nsg2","neuron specific gene family member 2","18197","1416107_at",-0.65,0.000149634488363668,0.00650185986535034,-0.15,0.64,0.81089015474844,7,1
"35","AHPamp","Arf1","ADP-ribosylation factor 1","11840","1420920_a_at",-0.65,0.000166545606260827,0.00665440191919567,-0.63,0.03,0.214284658225219,9.52,1
"36","AHPamp","Epha7","Eph receptor A7","13841","1452380_at",-0.65,0.000166545606260827,0.00665440191919567,-0.76,0.01,0.176410741974177,6.15,1
"37","AHPamp","Myt1l","myelin transcription factor 1-like","17933","1421175_at",-0.65,0.000155789175010527,0.00665440191919567,-0.61,0.04,0.224028752719133,6.17,1
"38","AHPamp","Plk2","polo-like kinase 2","20620","1427005_at",-0.65,0.000164343264820246,0.00665440191919567,-0.47,0.13,0.357723580227671,7.76,1
"39","AHPamp","Pfkl","phosphofructokinase, liver, B-type","18641","1439148_a_at",-0.64,0.000180316013400625,0.00665440191919567,-0.57,0.06,0.253436334973244,5.98,1
"40","AHPamp","Tmod2","tropomodulin 2","50876","1431326_a_at",-0.64,0.000175618115427517,0.00665440191919567,-0.81,0,0.153565913038916,5.8,1
"41","AHPamp","App","amyloid beta (A4) precursor protein","11820","1420621_a_at",-0.64,0.000195082757149013,0.00700737263679254,-0.09,0.78,0.892280135498207,8.28,1
"42","AHPamp","Nefl","neurofilament, light polypeptide","18039","1426255_at",-0.64,0.000202858803680093,0.00719081075150223,-0.49,0.11,0.32675511312019,6.69,1
"43","AHPamp","Arpc3","actin related protein 2/3 complex, subunit 3","56378","1448279_at",-0.64,0.000213651888245023,0.00728579983458344,-0.74,0.01,0.176410741974177,7.34,1
"44","AHPamp","Hebp1","heme binding protein 1","15199","1418172_at",-0.64,0.000213651888245023,0.00728579983458344,-0.73,0.01,0.176410741974177,1.87,1
"45","AHPamp","Grasp","GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein","56149","1460206_at",-0.63,0.000230791943946143,0.00767596909865321,-0.6,0.04,0.226065603431334,1.84,1
"46","AHPamp","Fam131a","family with sequence similarity 131, member A","78408","1426729_at",-0.63,0.000249133406598087,0.00809200942392405,-0.67,0.02,0.194874230696376,6.85,1
"47","AHPamp","Map2k1","mitogen-activated protein kinase kinase 1","26395","1416351_at",-0.63,0.000252312097850639,0.00809200942392405,-0.45,0.15,0.381322222327906,6.06,1
"48","AHPamp","Ppil4","peptidylprolyl isomerase (cyclophilin)-like 4","67418","1424043_at",-0.63,0.000252312097850639,0.00809200942392405,0.03,0.94,0.975923857874357,6.57,-1
"49","AHPamp","Got1","glutamic-oxaloacetic transaminase 1, soluble","14718","1450970_at",-0.63,0.000255526483530038,0.00809868643094027,0.12,0.72,0.854609276972939,9.87,-1
"50","AHPamp","Gpm6a","glycoprotein m6a","234267","1426442_at",-0.63,0.000272145948671718,0.0084271400657656,-0.43,0.16,0.399075866086837,11.04,1
"51","AHPamp","Sae1","SUMO1 activating enzyme subunit 1","56459","1416443_a_at",-0.63,0.000286119800280301,0.00866074990960821,-0.62,0.04,0.216573574883662,7.15,1
"52","AHPamp","Kalrn","kalirin, RhoGEF kinase","545156","1436066_at",-0.62,0.000335998802647456,0.00962958270566221,-0.56,0.06,0.255427677818357,4.9,1
"53","AHPamp","Dgat2","diacylglycerol O-acyltransferase 2","67800","1422678_at",-0.62,0.000348541096015684,0.00988389171227634,-0.78,0,0.176410741974177,3.92,1
"54","AHPamp","Pip5k1a","phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha","18720","1418144_a_at",-0.62,0.000357129738295451,0.0100219532809161,-0.43,0.16,0.399075866086837,4.82,1
"55","AHPamp","Nrcam","neuronal cell adhesion molecule","319504","1434709_at",-0.62,0.000384023150992096,0.0105567180487011,-0.66,0.02,0.196781483112663,5.78,1
"56","AHPamp","Dhx40","DEAH (Asp-Glu-Ala-His) box polypeptide 40","67487","1428267_at",-0.61,0.000417636194293242,0.0110305088963333,-0.04,0.9,0.956097430547835,3.14,1
"57","AHPamp","Atf6","activating transcription factor 6","226641","1435444_at",-0.61,0.000448477910059793,0.011506661806677,-0.36,0.25,0.502787249004358,3.84,1
"58","AHPamp","Camkk1","calcium/calmodulin-dependent protein kinase kinase 1, alpha","55984","1418954_at",-0.61,0.0004869741640075,0.0122608261480019,-0.57,0.06,0.244249700074099,3.88,1
"59","AHPamp","Arhgap20","Rho GTPase activating protein 20","244867","1427522_at",-0.61,0.000498492853991715,0.0124346273023489,-0.34,0.28,0.532539568134639,4.02,1
"60","AHPamp","Ccsap","centriole, cilia and spindle associated protein","73420","1451483_s_at",-0.6,0.000579370060030515,0.0139716791078884,-0.32,0.31,0.566988617662344,4.12,1
"61","AHPamp","Cys1","cystin 1","12879","1419070_at",-0.6,0.000586042961837928,0.0139716791078884,-0.65,0.03,0.19761342112235,1.39,1
"62","AHPamp","Sbno1","sno, strawberry notch homolog 1 (Drosophila)","243272","1426559_at",-0.6,0.000572763909515755,0.0139716791078884,-0.43,0.17,0.410840965643237,6.06,1
"63","AHPamp","Crym","crystallin, mu","12971","1416776_at",-0.6,0.000613413640801251,0.0143698812897267,-0.59,0.05,0.234980923183681,3.74,1
"64","AHPamp","Synrg","synergin, gamma","217030","1457695_at",-0.6,0.000613413640801251,0.0143698812897267,-0.48,0.12,0.336896123886241,3.53,1
"65","AHPamp","Atp6v1g2","ATPase, H+ transporting, lysosomal V1 subunit G2","66237","1417799_at",-0.6,0.000620429003693499,0.0144089287581921,-0.06,0.85,0.932606079341126,10.42,1
"66","AHPamp","Ramp1","receptor (calcitonin) activity modifying protein 1","51801","1417481_at",-0.59,0.00069454731195976,0.0157236172976436,-0.49,0.11,0.32675511312019,4.91,1
"67","AHPamp","Calm1","calmodulin 1","12313","1417366_s_at",-0.59,0.000734434187781278,0.0164880475156897,-0.6,0.04,0.226065603431334,11.15,1
"68","AHPamp","Csnk2b","casein kinase 2, beta polypeptide","13001","1416728_at",-0.59,0.000767774440352271,0.0166805188895889,-0.62,0.04,0.216573574883662,8.07,1
"69","AHPamp","Ext1","exostoses (multiple) 1","14042","1417730_at",-0.59,0.000767774440352271,0.0166805188895889,-0.59,0.05,0.234980923183681,3.87,1
"70","AHPamp","Mal2","mal, T cell differentiation protein 2","105853","1427042_at",-0.59,0.000750942247870429,0.0166805188895889,-0.5,0.1,0.31534830196742,6.77,1
"71","AHPamp","Nedd4l","neural precursor cell expressed, developmentally down-regulated gene 4-like","83814","1423269_a_at",-0.59,0.000767774440352271,0.0166805188895889,-0.76,0.01,0.176410741974177,4.75,1
"72","AHPamp","Kcnd2","potassium voltage-gated channel, Shal-related family, member 2","16508","1422835_at",-0.59,0.000802432904550475,0.017156779721103,-0.18,0.57,0.769384084721603,5.43,1
"73","AHPamp","Rraga","Ras-related GTP binding A","68441","1428905_at",-0.59,0.000811308632722581,0.0172099642248396,-0.22,0.48,0.707981186410074,6.86,1
"74","AHPamp","Fam81a","family with sequence similarity 81, member A","76886","1425213_at",-0.59,0.00082931831089912,0.0172427038381428,-0.59,0.05,0.234980923183681,8.71,1
"75","AHPamp","Jak1","Janus kinase 1","16451","1433805_at",-0.59,0.000838453675871085,0.0172427038381428,0.08,0.82,0.908754533791372,5.67,-1
"76","AHPamp","Sqstm1","sequestosome 1","18412","1450957_a_at",-0.59,0.000838453675871085,0.0172427038381428,0.18,0.57,0.769384084721603,7.21,-1
"77","AHPamp","Ddx6","DEAD (Asp-Glu-Ala-Asp) box polypeptide 6","13209","1424598_at",-0.58,0.000866390462797262,0.017538229869999,0.21,0.51,0.728412443806792,4.26,-1
"78","AHPamp","Enc1","ectodermal-neural cortex 1","13803","1420965_a_at",-0.58,0.00088546448258803,0.017538229869999,-0.63,0.03,0.214284658225219,8.51,1
"79","AHPamp","Rbfox3","RNA binding protein, fox-1 homolog (C. elegans) 3","52897","1427286_at",-0.58,0.000904904956172924,0.017538229869999,-0.54,0.07,0.273166848581922,5.06,1
"80","AHPamp","Mast3","microtubule associated serine/threonine kinase 3","546071","1435666_at",-0.58,0.000965485139365687,0.0181889298283298,-0.53,0.08,0.277506777178893,3.54,1
"81","AHPamp","Spry2","sprouty homolog 2 (Drosophila)","24064","1436584_at",-0.58,0.000965485139365687,0.0181889298283298,0.38,0.22,0.471505910062763,8.09,-1
"82","AHPamp","Sirpa","signal-regulatory protein alpha","19261","1416985_at",-0.58,0.000975919261344278,0.01822184802256,-0.49,0.11,0.32675511312019,6.41,1
"83","AHPamp","Snca","synuclein, alpha","20617","1418493_a_at",-0.58,0.000986451860796151,0.01822184802256,-0.66,0.02,0.196781483112663,9.89,1
"84","AHPamp","Zzz3","zinc finger, ZZ domain containing 3","108946","1434332_at",-0.58,0.000997083725394666,0.01822184802256,0.08,0.82,0.908754533791372,3.32,-1
"85","AHPamp","Khdrbs3","KH domain containing, RNA binding, signal transduction associated 3","13992","1453317_a_at",-0.58,0.00105175994939377,0.0187645119448134,-0.5,0.1,0.31942333211959,6.71,1
"86","AHPamp","Fus","fused in sarcoma","233908","1451285_at",-0.58,0.00107435343387856,0.0189170467377048,-0.1,0.75,0.875405025968005,3.24,1
"87","AHPamp","Hpca","hippocalcin","15444","1450930_at",-0.58,0.00107435343387856,0.0189170467377048,-0.59,0.05,0.231714430711481,8.44,1
"88","AHPamp","Ryr2","ryanodine receptor 2, cardiac","20191","1450123_at",-0.57,0.00109736992553316,0.0190729972863635,-0.31,0.32,0.577275727715572,3.73,1
"89","AHPamp","Chst15","carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15","77590","1452092_at",-0.57,0.00115680594284334,0.0199771487821792,0.08,0.82,0.908754533791372,1.78,-1
"90","AHPamp","Gria2","glutamate receptor, ionotropic, AMPA2 (alpha 2)","14800","1421970_a_at",-0.57,0.00120636030310879,0.0205692066871841,-0.38,0.22,0.471505910062763,8.95,1
"91","AHPamp","Pip4k2c","phosphatidylinositol-5-phosphate 4-kinase, type II, gamma","117150","1416387_at",-0.57,0.00120636030310879,0.0205692066871841,-0.61,0.04,0.224028752719133,4.07,1
"92","AHPamp","Cmip","c-Maf inducing protein","74440","1427980_at",-0.57,0.00123182525794823,0.0206120325770965,-0.66,0.02,0.196781483112663,5.8,1
"93","AHPamp","Gucy1b3","guanylate cyclase 1, soluble, beta 3","54195","1420872_at",-0.57,0.00123182525794823,0.0206120325770965,-0.32,0.31,0.566988617662344,7.17,1
"94","AHPamp","Matr3","matrin 3","17184","1450874_at",-0.57,0.0012190347251076,0.0206120325770965,0.01,0.97,0.9905014880181,9.01,-1
"95","AHPamp","Abi1","abl-interactor 1","11308","1423177_a_at",-0.57,0.00127090253585469,0.0211346384666205,-0.45,0.15,0.381322222327906,6.49,1
"96","AHPamp","Camk1d","calcium/calmodulin-dependent protein kinase ID","227541","1452050_at",-0.57,0.00133843851931794,0.021462817684777,-0.35,0.27,0.520565414400164,4.21,1
"97","AHPamp","Cecr6","cat eye syndrome chromosome region, candidate 6","94047","1419224_at",-0.57,0.00132468627976367,0.021462817684777,-0.58,0.05,0.243789936566465,2.91,1
"98","AHPamp","Nab2","Ngfi-A binding protein 2","17937","1417930_at",-0.57,0.00131105749672223,0.021462817684777,-0.43,0.16,0.399075866086837,2.34,1
"99","AHPamp","Usp2","ubiquitin specific peptidase 2","53376","1417168_a_at",-0.57,0.00133843851931794,0.021462817684777,-0.42,0.18,0.418140811633561,5.03,1
"100","AHPamp","Mras","muscle and microspikes RAS","17532","1449590_a_at",-0.56,0.00138044544190169,0.0218760001204891,-0.2,0.53,0.73859973785302,5.18,1
"101","AHPamp","Kif21a","kinesin family member 21A","16564","1450738_at",-0.56,0.00140908479232292,0.0221992656755436,0.11,0.73,0.8640685455059,5.9,-1
"102","AHPamp","Mat2b","methionine adenosyltransferase II, beta","108645","1448196_at",-0.56,0.00143824096685013,0.0225268672365945,-0.62,0.04,0.216573574883662,8.66,1
"103","AHPamp","Cbl","Casitas B-lineage lymphoma","12402","1455886_at",-0.56,0.00151344425656479,0.0235677388854656,-0.08,0.82,0.908754533791372,1.98,1
"104","AHPamp","Atp1a1","ATPase, Na+/K+ transporting, alpha 1 polypeptide","11928","1451071_a_at",-0.56,0.00157605214884416,0.0244016349941734,-0.52,0.09,0.293953616555447,4.8,1
"105","AHPamp","Atp1b1","ATPase, Na+/K+ transporting, beta 1 polypeptide","11931","1418453_a_at",-0.56,0.00162447755929785,0.0248348182382086,0.62,0.03,0.216573574883662,8.84,-1
"106","AHPamp","Rap2b","RAP2B, member of RAS oncogene family","74012","1439548_at",-0.56,0.00164090484276211,0.0248348182382086,-0.69,0.02,0.188857150385211,4.9,1
"107","AHPamp","Wdr13","WD repeat domain 13","73447","1451728_at",-0.56,0.00167419399577809,0.0251970872884143,-0.59,0.05,0.231714430711481,4.72,1
"108","AHPamp","Tjp1","tight junction protein 1","21872","1417749_a_at",-0.56,0.00169105800904505,0.0253095015353742,-0.29,0.35,0.60565870877396,2.73,1
"109","AHPamp","Map2k4","mitogen-activated protein kinase kinase 4","26398","1426233_at",-0.55,0.00183138056298628,0.0269343765668441,-0.14,0.67,0.82692224656568,6.08,1
"110","AHPamp","Pdcd4","programmed cell death 4","18569","1418840_at",-0.55,0.00184961383254126,0.0269343765668441,-0.35,0.27,0.520565414400164,7.57,1
"111","AHPamp","St8sia3","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3","20451","1451008_at",-0.55,0.001813303901243,0.0269343765668441,-0.2,0.53,0.73859973785302,6.38,1
"112","AHPamp","Itpka","inositol 1,4,5-trisphosphate 3-kinase A","228550","1424037_at",-0.55,0.00188655475525725,0.027324615648726,-0.55,0.07,0.267939182491602,4.02,1
"113","AHPamp","Btbd10","BTB (POZ) domain containing 10","68815","1438578_a_at",-0.55,0.00194316936944708,0.0278452036238853,-0.71,0.01,0.184229370917814,7.37,1
"114","AHPamp","Egr1","early growth response 1","13653","1417065_at",-0.55,0.00194316936944708,0.0278452036238853,-0.45,0.15,0.381322222327906,7.26,1
"115","AHPamp","Arf3","ADP-ribosylation factor 3","11842","1423973_a_at",-0.55,0.00204081363467922,0.0279083854407402,-0.71,0.01,0.184229370917814,7.34,1
"116","AHPamp","Arpc5","actin related protein 2/3 complex, subunit 5","67771","1448129_at",-0.55,0.00204081363467922,0.0279083854407402,-0.89,0,0.0475341589463887,6.73,1
"117","AHPamp","Cbr3","carbonyl reductase 3","109857","1427912_at",-0.55,0.0020012558467289,0.0279083854407402,0.56,0.06,0.255427677818357,0.52,-1
"118","AHPamp","Efnb2","ephrin B2","13642","1419639_at",-0.55,0.00196236642021995,0.0279083854407402,-0.66,0.02,0.196105201845508,4.24,1
"119","AHPamp","Epn2","epsin 2","13855","1427225_at",-0.55,0.00202095059758561,0.0279083854407402,-0.17,0.6,0.792239777221812,4.24,1
"120","AHPamp","Gpd1","glycerol-3-phosphate dehydrogenase 1 (soluble)","14555","1448249_at",-0.55,0.00198172818456694,0.0279083854407402,0.29,0.37,0.616946186167782,3.21,-1
"121","AHPamp","Rap2a","RAS related protein 2a","76108","1426965_at",-0.55,0.0020012558467289,0.0279083854407402,-0.69,0.02,0.188857150385211,4.74,1
"122","AHPamp","Stk25","serine/threonine kinase 25 (yeast)","59041","1416770_at",-0.55,0.00204081363467922,0.0279083854407402,-0.43,0.17,0.410840965643237,6.44,1
"123","AHPamp","Bcl11b","B cell leukemia/lymphoma 11B","58208","1450339_a_at",-0.54,0.00218466891238534,0.0289926012313601,0.14,0.67,0.82692224656568,2,-1
"124","AHPamp","Dnajb5","DnaJ (Hsp40) homolog, subfamily B, member 5","56323","1450436_s_at",-0.54,0.00220592215807567,0.0291311484992934,-0.59,0.05,0.231714430711481,4.82,1
"125","AHPamp","Sept7","septin 7","235072","1454610_at",-0.54,0.00222735477153813,0.0292707012415792,-0.76,0.01,0.176410741974177,10.02,1
"126","AHPamp","Prkce","protein kinase C, epsilon","18754","1452878_at",-0.54,0.00224896801822104,0.0294112613645024,-0.57,0.06,0.244249700074099,5.83,1
"127","AHPamp","Lgi1","leucine-rich repeat LGI family, member 1","56839","1423183_at",-0.54,0.00229274150765713,0.0295533283331498,-0.42,0.18,0.418140811633561,7.12,1
"128","AHPamp","Synj2","synaptojanin 2","20975","1452344_at",-0.54,0.00229274150765713,0.0295533283331498,-0.69,0.02,0.188857150385211,3.94,1
"129","AHPamp","Csde1","cold shock domain containing E1, RNA binding","229663","1423997_at",-0.54,0.00240542623155512,0.0308581822276643,0.31,0.32,0.577275727715572,9.74,-1
"130","AHPamp","Cx3cl1","chemokine (C-X3-C motif) ligand 1","20312","1415803_at",-0.54,0.00242853093522348,0.0308606714126983,-0.57,0.06,0.244249700074099,6.87,1
"131","AHPamp","Rab15","RAB15, member RAS oncogene family","104886","1417829_a_at",-0.54,0.00242853093522348,0.0308606714126983,-0.65,0.03,0.19761342112235,5.48,1
"132","AHPamp","Ehmt2","euchromatic histone lysine N-methyltransferase 2","110147","1460692_at",-0.54,0.00254696631987578,0.0320632115221745,-0.17,0.59,0.780234223803687,3.04,1
"133","AHPamp","Ldb2","LIM domain binding 2","16826","1421101_a_at",-0.54,0.00254696631987578,0.0320632115221745,-0.76,0.01,0.176410741974177,5.6,1
"134","AHPamp","Cdh11","cadherin 11","12552","1450757_at",-0.54,0.00257124522015879,0.0322183005725943,-0.55,0.07,0.26457733653403,4.79,1
"135","AHPamp","Ptk2","PTK2 protein tyrosine kinase 2","14083","1423059_at",-0.54,0.00264529019253799,0.0326899622876025,-0.71,0.01,0.184229370917814,5.47,1
"136","AHPamp","Camkv","CaM kinase-like vesicle-associated","235604","1423802_at",-0.54,0.00267037922785491,0.0327000074538233,-0.8,0,0.170773473326183,5.37,1
"137","AHPamp","Wwc1","WW, C2 and coiled-coil domain containing 1","211652","1427261_at",-0.54,0.00267037922785491,0.0327000074538233,-0.29,0.35,0.60565870877396,1.23,1
"138","AHPamp","Dmtn","dematin actin binding protein","13829","1460223_a_at",-0.53,0.00274688807926222,0.0334846899797846,-0.67,0.02,0.194874230696376,6.45,1
"139","AHPamp","Fkbp5","FK506 binding protein 5","14229","1416125_at",-0.53,0.00277280966346744,0.0336484199701859,-0.31,0.32,0.577275727715572,2.31,1
"140","AHPamp","Prkcb","protein kinase C, beta","18751","1423478_at",-0.53,0.00282528935371983,0.0338281311952055,-0.79,0,0.176410741974177,6.58,1
"141","AHPamp","Gria3","glutamate receptor, ionotropic, AMPA3 (alpha 3)","53623","1420563_at",-0.53,0.00287862736267522,0.0340132548905571,-0.11,0.73,0.8640685455059,6.74,1
"142","AHPamp","Dusp7","dual specificity phosphatase 7","235584","1427416_x_at",-0.53,0.00298792506685707,0.03484619103945,-0.56,0.06,0.255427677818357,4.21,1
"143","AHPamp","Fbxw7","F-box and WD-40 domain protein 7","50754","1424986_s_at",-0.53,0.00304390842922367,0.0353460746048646,-0.59,0.05,0.234980923183681,7.98,1
"144","AHPamp","Ptk2b","PTK2 protein tyrosine kinase 2 beta","19229","1434653_at",-0.53,0.00315860425598408,0.0365205144447258,-0.57,0.06,0.244249700074099,5.43,1
"145","AHPamp","Ctnnb1","catenin (cadherin associated protein), beta 1","12387","1450008_a_at",-0.52,0.00330721740237306,0.0377527274660721,-0.56,0.06,0.255427677818357,6.34,1
"146","AHPamp","Wasf1","WAS protein family, member 1","83767","1418545_at",-0.52,0.00339925653697549,0.0386396502557468,-0.54,0.07,0.273166848581922,6.99,1
"147","AHPamp","Bcr","breakpoint cluster region","110279","1452368_at",-0.52,0.00349350149266934,0.0393786318880804,0.07,0.83,0.920340896469921,3.13,-1
"148","AHPamp","Camk2b","calcium/calmodulin-dependent protein kinase II, beta","12323","1448676_at",-0.52,0.00352541417921846,0.0394408077604368,-0.6,0.04,0.226065603431334,6.5,1
"149","AHPamp","Gabrb3","gamma-aminobutyric acid (GABA) A receptor, subunit beta 3","14402","1421190_at",-0.52,0.00355757842827993,0.0394408077604368,-0.5,0.1,0.31534830196742,5.92,1
"150","AHPamp","Nop58","NOP58 ribonucleoprotein","55989","1450986_at",-0.52,0.00355757842827993,0.0394408077604368,0.83,0,0.127323387998615,6.23,-1
"151","AHPamp","Nell2","NEL-like 2","54003","1423560_at",-0.52,0.00368878395257951,0.040070903097779,-0.71,0.01,0.184229370917814,7,1
"152","AHPamp","Srsf5","serine/arginine-rich splicing factor 5","20384","1423130_a_at",-0.52,0.00368878395257951,0.040070903097779,0.1,0.77,0.886651480324164,9.05,-1
"153","AHPamp","Fam188a","family with sequence similarity 188, member A","66960","1418963_at",-0.52,0.00372223076190113,0.0401107586902467,-0.55,0.07,0.26457733653403,5.88,1
"154","AHPamp","Trim2","tripartite motif-containing 2","80890","1448551_a_at",-0.52,0.00375593908933185,0.0401527774073809,0.36,0.25,0.502787249004358,5.65,-1
"155","AHPamp","Syt5","synaptotagmin V","53420","1422531_at",-0.52,0.00378991062249341,0.0403558071818073,-0.59,0.05,0.231714430711481,7.36,1
"156","AHPamp","Rrp1","ribosomal RNA processing 1 homolog (S. cerevisiae)","18114","1415957_a_at",-0.52,0.00382414705716434,0.0404009889098069,0.09,0.78,0.892280135498207,7.87,-1
"157","AHPamp","Klf16","Kruppel-like factor 16","118445","1416350_at",-0.51,0.0040713635098866,0.0423484683229131,-0.22,0.5,0.718204517531945,2.3,1
