,ID,enrichment,branch,depth,name,n_enriched,n_in_cat,ratio_in_study,ratio_in_pop,enrichment_ratio,pv
38,GO:0051249,e,BP,6,regulation of lymphocyte activation,35,380,0.043,0.021,2.035,0.029
39,GO:0002431,e,BP,9,Fc receptor mediated stimulatory signaling pathway,12,72,0.015,0.004,3.682,0.030
40,GO:0042116,e,BP,5,macrophage activation,9,42,0.011,0.002,4.734,0.030
41,GO:0110053,e,BP,8,regulation of actin filament organization,26,252,0.032,0.014,2.279,0.030
42,GO:0150064,e,BP,4,vertebrate eye-specific patterning,3,3,0.004,0.000,22.090,0.030
43,GO:0002683,e,BP,4,negative regulation of immune system process,35,385,0.043,0.021,2.008,0.030
44,GO:0051049,e,BP,4,regulation of transport,112,1733,0.137,0.096,1.428,0.030
45,GO:0098542,e,BP,5,defense response to other organism,46,561,0.056,0.031,1.811,0.033
46,GO:0150146,e,BP,5,cell junction disassembly,5,12,0.006,0.001,9.204,0.033
47,GO:0016322,e,BP,6,neuron remodeling,5,12,0.006,0.001,9.204,0.033
48,GO:1903038,e,BP,7,negative regulation of leukocyte cell-cell adhesion,15,109,0.018,0.006,3.040,0.033
49,GO:0007166,e,BP,5,cell surface receptor signaling pathway,125,1985,0.152,0.110,1.391,0.034
50,GO:0034728,e,BP,6,nucleosome organization,19,162,0.023,0.009,2.591,0.037
51,GO:0036336,e,BP,6,dendritic cell migration,6,19,0.007,0.001,6.976,0.037
52,GO:0048584,e,BP,4,positive regulation of response to stimulus,128,2050,0.156,0.113,1.379,0.039
53,GO:0001774,e,BP,6,microglial cell activation,7,27,0.009,0.001,5.727,0.039
54,GO:0002269,e,BP,4,leukocyte activation involved in inflammatory response,7,27,0.009,0.001,5.727,0.039
55,GO:0050778,e,BP,5,positive regulation of immune response,43,522,0.052,0.029,1.820,0.039
4395,GO:2000112,p,BP,6,regulation of cellular macromolecule biosynthetic process,114,3508,0.139,0.194,0.718,0.017
4396,GO:0051252,p,BP,6,regulation of RNA metabolic process,110,3386,0.134,0.187,0.718,0.019
4397,GO:0044271,p,BP,4,cellular nitrogen compound biosynthetic process,34,1356,0.041,0.075,0.554,0.029
4398,GO:0019219,p,BP,5,regulation of nucleobase-containing compound metabolic process,121,3629,0.148,0.200,0.737,0.029
4399,GO:0090304,p,BP,5,nucleic acid metabolic process,62,2093,0.076,0.116,0.654,0.037
15305,GO:0032993,e,CC,2,protein-DNA complex,21,164,0.026,0.009,2.829,0.016
15306,GO:0000786,e,CC,3,nucleosome,15,95,0.018,0.005,3.488,0.016
15307,GO:0005887,e,CC,4,integral component of plasma membrane,88,1250,0.107,0.069,1.555,0.016
15308,GO:0031226,e,CC,3,intrinsic component of plasma membrane,92,1323,0.112,0.073,1.536,0.016
15309,GO:0044815,e,CC,2,DNA packaging complex,15,103,0.018,0.006,3.217,0.023
15310,GO:0030666,e,CC,6,endocytic vesicle membrane,18,147,0.022,0.008,2.705,0.034
15311,GO:0031514,e,CC,5,motile cilium,16,122,0.020,0.007,2.897,0.034
15312,GO:0043235,e,CC,2,receptor complex,33,368,0.040,0.020,1.981,0.040
15313,GO:0000839,e,CC,8,Hrd1p ubiquitin ligase ERAD-L complex,4,8,0.005,0.000,11.045,0.047
15314,GO:0016021,e,CC,3,integral component of membrane,235,4213,0.287,0.233,1.232,0.047
15867,GO:0005634,p,CC,5,nucleus,170,4754,0.207,0.262,0.790,0.040
18084,GO:0003676,p,MF,3,nucleic acid binding,117,3724,0.143,0.206,0.694,0.012
